Date,Sales
02-01-2020,769
02-01-2020,453
09-01-2020,703
14-01-2020,132
15-01-2020,257
21-01-2020,995
22-01-2020,960
04-02-2020,137
10-02-2020,401
23-02-2020,216
05-03-2020,576
28-03-2020,521
01-04-2020,474
05-04-2020,492
08-04-2020,227
22-04-2020,191
01-05-2020,686
02-05-2020,224
10-05-2020,951
14-05-2020,706
23-05-2020,882
23-05-2020,755
26-05-2020,104
30-05-2020,922
31-05-2020,573
10-06-2020,325
15-06-2020,234
05-07-2020,543
06-07-2020,611
08-07-2020,260
08-07-2020,605
16-07-2020,791
19-07-2020,198
20-07-2020,376
21-07-2020,289
24-07-2020,329
25-07-2020,762
26-07-2020,445
04-08-2020,291
07-08-2020,899
18-08-2020,345
18-08-2020,448
29-08-2020,787
03-09-2020,797
09-09-2020,995
10-09-2020,756
19-09-2020,919
26-09-2020,708
03-10-2020,198
06-10-2020,441
15-10-2020,136
20-10-2020,669
22-10-2020,552
11-11-2020,739
13-11-2020,875
26-11-2020,519
03-12-2020,983
03-12-2020,915
09-12-2020,326
11-12-2020,368
13-01-2021,379
14-01-2021,116
19-01-2021,953
20-01-2021,609
22-01-2021,294
26-01-2021,991
27-01-2021,953
01-02-2021,891
04-02-2021,249
05-02-2021,382
06-02-2021,719
07-02-2021,840
10-02-2021,355
22-02-2021,844
17-03-2021,753
28-03-2021,219
31-03-2021,978
04-04-2021,252
08-04-2021,712
11-04-2021,724
17-04-2021,966
19-04-2021,805
29-04-2021,910
03-05-2021,295
07-05-2021,271
17-05-2021,260
17-05-2021,971
23-05-2021,849
25-05-2021,262
04-06-2021,145
08-06-2021,781
24-06-2021,138
04-07-2021,976
10-07-2021,966
16-07-2021,376
17-07-2021,884
17-07-2021,982
18-07-2021,982
19-07-2021,537
31-07-2021,858
15-08-2021,198
23-08-2021,500
31-08-2021,153
04-09-2021,665
15-09-2021,469
19-09-2021,135
24-09-2021,924
02-10-2021,146
03-10-2021,933
04-10-2021,669
07-10-2021,507
08-10-2021,603
09-10-2021,472
10-10-2021,420
21-10-2021,363
25-10-2021,499
12-11-2021,637
14-11-2021,117
14-11-2021,611
17-11-2021,900
29-11-2021,242
30-11-2021,819
03-12-2021,875
10-12-2021,119
20-12-2021,928
26-12-2021,892
30-12-2021,764
30-12-2021,126
12-01-2022,485
17-01-2022,977
18-01-2022,275
21-01-2022,937
02-02-2022,148
02-02-2022,152
05-02-2022,785
05-02-2022,413
08-02-2022,353
14-02-2022,769
15-02-2022,559
18-02-2022,799
02-03-2022,646
05-03-2022,387
06-03-2022,624
15-03-2022,422
16-03-2022,211
26-03-2022,383
26-03-2022,157
11-04-2022,915
15-04-2022,674
20-04-2022,491
04-05-2022,826
06-05-2022,437
10-05-2022,219
13-05-2022,202
13-05-2022,589
20-05-2022,725
21-05-2022,203
21-05-2022,449
28-05-2022,758
30-05-2022,205
02-06-2022,404
10-06-2022,254
15-06-2022,758
16-06-2022,569
17-07-2022,873
18-07-2022,215
09-08-2022,570
12-08-2022,671
13-08-2022,572
13-08-2022,121
15-08-2022,679
15-08-2022,497
18-08-2022,834
30-08-2022,784
02-09-2022,780
08-09-2022,781
22-09-2022,897
09-10-2022,917
11-10-2022,886
13-10-2022,735
13-10-2022,580
14-10-2022,596
17-10-2022,203
18-10-2022,662
22-10-2022,464
25-10-2022,422
04-11-2022,738
10-11-2022,727
17-11-2022,280
17-11-2022,927
22-11-2022,290
25-11-2022,576
26-11-2022,930
30-11-2022,319
07-12-2022,352
12-12-2022,615
12-12-2022,150
18-12-2022,921
22-12-2022,617
31-12-2022,772
